group_id,counter_records,counter_unique_files,counter_unique_ids,split,id,source,label,title,image_path_lookup,pixel_hash
7,14,14,14,train,gossipcop-876634,gossipcop,real,Sandra Bullock donates $1 million to Harvey Red Cross relief,images\train\gossipcop-876634_0_79bba41ed4.jpg,45d13637de0155e764246b9953b417376f6f80163d0242e846b6bbcd8d7ef544
3,23,23,23,train,gossipcop-910860,gossipcop,real,Mama June Trash Talks Daughter Pumpkin's Fiance,images\train\gossipcop-910860_0_cd3a877011.jpg,b0f6ffed41b438fca077245d32fdb00883cdf6919793118a92d0b1a92b7eb434
9,12,12,12,train,gossipcop-954809,gossipcop,real,Camila Cabello Opens Up About Her Special Connection With Taylor Swift,images\train\gossipcop-954809_0_2600b252c7.jpg,7fef15cce525c90be82e7b2c146bdc87813de6b751b08470026e7e92e028e987
5,15,15,15,train,gossipcop-922444,gossipcop,real,John Stamos Recalls Full House Baby Bump and Can’t Wait for Fatherhood,images\train\gossipcop-922444_0_1b2781c9c4.jpg,733bcb9966523c9373051c4a0a944151c63feedc07e93564750a26281b7c5573
25,5,5,5,train,gossipcop-938728,gossipcop,real,Andy Cohen and Jimmy Fallon Lose Their Cool in a Nutty Game of Jinx.,images\train\gossipcop-938728_1_02dd4906e5.jpg,b381e492131996e2b2cb05959377793c20d0aa815af2f7bc857046983d85eb96
6,14,14,14,train,gossipcop-887239,gossipcop,real,Miley Cyrus takes family drama in her stride as dad Billy Ray storms out of interview,images\train\gossipcop-887239_0_22757645c6.jpg,143e32ffe52abe2f55d9038e1214a42eb7a6e10881ec609a18be9500ed7f5865
3,23,23,23,train,gossipcop-884385,gossipcop,real,How 'Dancing With the Stars' Paid Tribute to Las Vegas Shooting Victims,images\train\gossipcop-884385_0_cd3a877011.jpg,b0f6ffed41b438fca077245d32fdb00883cdf6919793118a92d0b1a92b7eb434
3,23,23,23,train,gossipcop-860319,gossipcop,real,Scott Disick Admits He Doesn't Have Any Father's Day Plans While Partying in Vegas,images\train\gossipcop-860319_0_cd3a877011.jpg,b0f6ffed41b438fca077245d32fdb00883cdf6919793118a92d0b1a92b7eb434
1,33,33,33,train,gossipcop-1143311659,gossipcop,fake,Will Arnett Girlfriend: Dating Producer Erin David After Katie Lee,images\train\gossipcop-1143311659_2_8316ad7c7a.jpg,6d92ed2a1f0519bb5cfbcb70425b856dd1aaf8790b749c73e1bd46d4d20391a7
1,33,33,33,train,gossipcop-214133115,gossipcop,fake,Rihanna Cradles Newborn Baby in Loving Twitter Pictures,images\train\gossipcop-214133115_2_8316ad7c7a.jpg,6d92ed2a1f0519bb5cfbcb70425b856dd1aaf8790b749c73e1bd46d4d20391a7
13,8,8,8,train,gossipcop-4697947797,gossipcop,fake,Caitlyn Jenner considering a bid for U.S. Senate in California,images\train\gossipcop-4697947797_0_fd40f6272e.jpg,3a096c75f092796add8dd2d74062a9d6ed8aa7bc42ca1fbf1e197c30869d66b4
3,23,23,23,train,gossipcop-894177,gossipcop,real,Get a Sneak Peek at the 'KUWTK' Christmas Special,images\train\gossipcop-894177_0_cd3a877011.jpg,b0f6ffed41b438fca077245d32fdb00883cdf6919793118a92d0b1a92b7eb434
12,9,9,9,train,gossipcop-8139891112,gossipcop,fake,Jessica Hits Rock Bottom!,images\train\gossipcop-8139891112_0_c589845af4.jpg,ddd8f6eb1317991fb306851232426ad2a3311824a194f8c7bc9ebda1cd9025b1
8,13,13,13,train,gossipcop-9393662304,gossipcop,fake,A Source Reported That Blake Shelton Is Cheating On Gwen Stefani – Their Friends Still Believe That The Couple Will Walk Down The Aisle Someday,images\train\gossipcop-9393662304_0_7011549a48.jpg,24a381d1b38177a5d3b7d10fd3cc4fbd2110b51973f600548f55b8d1ee30280e
3,23,23,23,train,gossipcop-860307,gossipcop,real,Jenelle Evans Takes Son Jace on Horseback Riding Trip After Custody Battle,images\train\gossipcop-860307_0_cd3a877011.jpg,b0f6ffed41b438fca077245d32fdb00883cdf6919793118a92d0b1a92b7eb434
2,25,25,25,train,gossipcop-883321,gossipcop,real,Jenna Dewan Tatum Still Has Her Step Up Boots and 8 More Things to Know,images\train\gossipcop-883321_0_75fcf3b814.jpg,d41d1f9efb49332679396ac8b7cfa0f51cf505041056790074e6d729c0a917b2
4,18,18,18,train,gossipcop-857436,gossipcop,real,The Demise of the Hollywood Power Couple: Will A-List Dating Ever Be the Same?,images\train\gossipcop-857436_2_04de84df93.jpg,b0c13b3bae5301b6795a26a23861e11e08b7347aa93a520ff3f377955ddc4f19
7,14,14,14,train,gossipcop-885640,gossipcop,real,Family and 'Star Trek' co-stars pay tribute to Anton Yelchin,images\train\gossipcop-885640_0_79bba41ed4.jpg,45d13637de0155e764246b9953b417376f6f80163d0242e846b6bbcd8d7ef544
2,25,25,25,train,gossipcop-2595922573,gossipcop,fake,Channing Tatum Having a 'Hard' Time with Jenna Dewan Split: It's a 'Big Adjustment',images\train\gossipcop-2595922573_0_75fcf3b814.jpg,d41d1f9efb49332679396ac8b7cfa0f51cf505041056790074e6d729c0a917b2
4,18,18,18,train,gossipcop-858927,gossipcop,real,Gal Gadot and Chris Hemsworth Spar on Social Media Over Whether Wonder Woman or Thor Would Win in a…,images\train\gossipcop-858927_2_04de84df93.jpg,b0c13b3bae5301b6795a26a23861e11e08b7347aa93a520ff3f377955ddc4f19
6,14,14,14,train,gossipcop-1601939859,gossipcop,fake,Kristen Stewart is usual scowling self on night out with Robert Pattinson,images\train\gossipcop-1601939859_0_22757645c6.jpg,143e32ffe52abe2f55d9038e1214a42eb7a6e10881ec609a18be9500ed7f5865
5,15,15,15,train,gossipcop-913715,gossipcop,real,Does the Cast of The Bachelor Winter Games Know the Lyrics to Their Own Anthem?,images\train\gossipcop-913715_0_1b2781c9c4.jpg,733bcb9966523c9373051c4a0a944151c63feedc07e93564750a26281b7c5573
3,23,23,23,train,gossipcop-862700,gossipcop,real,Lauren Bushnell Says There's 'No Bad Blood' With Ex Ben Higgins One Year After Breakup,images\train\gossipcop-862700_0_cd3a877011.jpg,b0f6ffed41b438fca077245d32fdb00883cdf6919793118a92d0b1a92b7eb434
5,15,15,15,train,gossipcop-931720,gossipcop,real,James Van Der Beek Delivers Inspiring Message to Fans With Dyslexia,images\train\gossipcop-931720_0_1b2781c9c4.jpg,733bcb9966523c9373051c4a0a944151c63feedc07e93564750a26281b7c5573
10,10,10,10,train,gossipcop-928414,gossipcop,real,Letitia Wright raps about Red Lobster and vibranium for Jimmy Fallon,images\train\gossipcop-928414_0_32171cb205.jpg,44532a0583eb158cd87c609480854a6cbc6e57383b0ce8e8549208e217683795
9,12,12,12,train,gossipcop-1454304840,gossipcop,fake,Obamas Celebrate 25th Anniversary After False Split Stories,images\train\gossipcop-1454304840_0_8fe4e20e59.jpg,7fef15cce525c90be82e7b2c146bdc87813de6b751b08470026e7e92e028e987
20,6,6,6,train,gossipcop-883984,gossipcop,real,'Hallelujah'! Tori Kelly Is Engaged to Basketball Player Boyfriend André Murillo,images\train\gossipcop-883984_0_0c3365f52b.jpg,831c332826c2850fc6ec4f7ceead1a2c7432e2d43dbccdd97a21a920177f3378
4,18,18,18,train,gossipcop-859429,gossipcop,real,Ed Sheeran’s Carpool Karaoke Features One Very Silly Justin Bieber Story,images\train\gossipcop-859429_2_04de84df93.jpg,b0c13b3bae5301b6795a26a23861e11e08b7347aa93a520ff3f377955ddc4f19
9,12,12,12,train,gossipcop-4208289619,gossipcop,fake,Celebrities Thank Barack Obama On Last Day As President,images\train\gossipcop-4208289619_0_76a32babf2.jpg,7fef15cce525c90be82e7b2c146bdc87813de6b751b08470026e7e92e028e987
20,6,6,6,train,gossipcop-906610,gossipcop,real,The Chainsmokers' Alex Pall Allegedly Caught Cheating by Girlfriend Tori Woodward in CCTV Video,images\train\gossipcop-906610_0_0c3365f52b.jpg,831c332826c2850fc6ec4f7ceead1a2c7432e2d43dbccdd97a21a920177f3378
10,10,10,10,train,gossipcop-920314,gossipcop,real,Ben Affleck and Matt Damon's production company to adopt inclusion riders,images\train\gossipcop-920314_0_32171cb205.jpg,44532a0583eb158cd87c609480854a6cbc6e57383b0ce8e8549208e217683795
7,14,14,14,train,gossipcop-1584523188,gossipcop,fake,Ryan Phillippe on ex-girlfriend's lawsuit: 'Every one of my accuser's allegations is false',images\train\gossipcop-1584523188_0_79bba41ed4.jpg,45d13637de0155e764246b9953b417376f6f80163d0242e846b6bbcd8d7ef544
4,18,18,18,train,gossipcop-858032,gossipcop,real,Alexa Chung Says You Must Own This 1 Piece From Her Latest Collection,images\train\gossipcop-858032_2_04de84df93.jpg,b0c13b3bae5301b6795a26a23861e11e08b7347aa93a520ff3f377955ddc4f19
3,23,23,23,train,gossipcop-4988611075,gossipcop,fake,Kim Kardashian-Kanye West Divorce Rumors Proven False,images\train\gossipcop-4988611075_0_cd3a877011.jpg,b0f6ffed41b438fca077245d32fdb00883cdf6919793118a92d0b1a92b7eb434
1,33,33,33,train,gossipcop-874063,gossipcop,real,Dylan Sprouse Responds to Allegations He Cheated on Dayna Frazer,images\train\gossipcop-874063_2_8316ad7c7a.jpg,6d92ed2a1f0519bb5cfbcb70425b856dd1aaf8790b749c73e1bd46d4d20391a7
24,5,5,5,train,gossipcop-955246,gossipcop,real,"Kristen Cavallari's New Reality Show Is So Bad, It's Good",images\train\gossipcop-955246_0_7f261942c4.jpg,940722979531fb4650db20f9170164db8bda0c8f7c030d3cbd1563f5f6e6ac90
6,14,14,14,train,gossipcop-854060,gossipcop,real,Gwen Stefani News on Partner Blake Shelton and The Voice,images\train\gossipcop-854060_1_22757645c6.jpg,143e32ffe52abe2f55d9038e1214a42eb7a6e10881ec609a18be9500ed7f5865
15,7,7,7,train,gossipcop-902068207,gossipcop,fake,We Really Think Ben Affleck's Girlfriend Lindsay Shookus Is Pregnant,images\train\gossipcop-902068207_1_8c1a093007.jpg,3d1120eb776c43c7263c293c32adbdeece9112eaf00ed922d1b24a3762dbfab8
1,33,33,33,train,gossipcop-870213,gossipcop,real,Carmelo Anthony Posts Sexy Photo of La La Amid Split,images\train\gossipcop-870213_2_8316ad7c7a.jpg,6d92ed2a1f0519bb5cfbcb70425b856dd1aaf8790b749c73e1bd46d4d20391a7
6,14,14,14,train,gossipcop-5125414392,gossipcop,fake,Colin Jost calls Scarlett Johansson his 'girlfriend' for first time,images\train\gossipcop-5125414392_0_22757645c6.jpg,143e32ffe52abe2f55d9038e1214a42eb7a6e10881ec609a18be9500ed7f5865
5,15,15,15,train,gossipcop-926279,gossipcop,real,Paris Jackson Is Ready for Spring Strolls in $32 Sandals,images\train\gossipcop-926279_0_1b2781c9c4.jpg,733bcb9966523c9373051c4a0a944151c63feedc07e93564750a26281b7c5573
5,15,15,15,train,gossipcop-907592,gossipcop,real,The Most Empowering Quotes on the 2018 SAG Awards Red Carpet,images\train\gossipcop-907592_0_1b2781c9c4.jpg,733bcb9966523c9373051c4a0a944151c63feedc07e93564750a26281b7c5573
7,14,14,14,train,gossipcop-915935,gossipcop,real,"Kylie Jenner named her baby Stormi, and revealed her last name",images\train\gossipcop-915935_0_79bba41ed4.jpg,45d13637de0155e764246b9953b417376f6f80163d0242e846b6bbcd8d7ef544
7,14,14,14,train,gossipcop-899577,gossipcop,real,Paris Hilton drags Lindsay Lohan while explaining their famous photo with Britney Spears,images\train\gossipcop-899577_0_79bba41ed4.jpg,45d13637de0155e764246b9953b417376f6f80163d0242e846b6bbcd8d7ef544
16,7,7,7,train,gossipcop-6248988606,gossipcop,fake,Why All Ladies Crush on Angelina Jolie,images\train\gossipcop-6248988606_0_69e01bbfbb.jpg,3da54976f2cadfc600daf0eda68efb5f13c95da0cf926f7bcae226529457af73
4,18,18,18,train,gossipcop-861381,gossipcop,real,Queen of the South’s Jon Ecker Opens Up About His Role and Growing Up With a Famous Father,images\train\gossipcop-861381_2_04de84df93.jpg,b0c13b3bae5301b6795a26a23861e11e08b7347aa93a520ff3f377955ddc4f19
8,13,13,13,train,gossipcop-2225119088,gossipcop,fake,Kris Jenner Wants Paris Jackson To Join ‘Keeping Up With The Kardashians’ Amid Ratings Woes,images\train\gossipcop-2225119088_0_7011549a48.jpg,24a381d1b38177a5d3b7d10fd3cc4fbd2110b51973f600548f55b8d1ee30280e
23,5,5,5,train,gossipcop-952310,gossipcop,real,As Selena Gomez landed at the top after a roller coaster year,images\train\gossipcop-952310_0_fdaefb8ec4.jpg,2a890006076c9e125d76e4f86b48410512a0d8233d294a62161f7d9b6ebdbbbd
10,10,10,10,train,gossipcop-851704,gossipcop,real,Riverdale star Lili Reinhart responds to critics of mental health tweets: 'I'm not going to keep my mouth shut',images\train\gossipcop-851704_0_32171cb205.jpg,44532a0583eb158cd87c609480854a6cbc6e57383b0ce8e8549208e217683795
11,10,10,10,train,gossipcop-857377,gossipcop,real,Ellen DeGeneres’ Favourite Fashion Moment Was The Bjork Swan Dress,images\train\gossipcop-857377_0_1ae196844c.jpg,6e4f3eafbd3fb4f53cec09c19a6bcc8f9786cc01c8f63de67b99c388b6b7b6d2
9,12,12,12,train,gossipcop-9583470247,gossipcop,fake,Are Mariah Carey & Joe Jonas Feuding?,images\train\gossipcop-9583470247_0_dee8ec7b16.jpg,7fef15cce525c90be82e7b2c146bdc87813de6b751b08470026e7e92e028e987
2,25,25,25,train,gossipcop-8536539547,gossipcop,fake,From Welcoming a Baby Together to Their Joint GQ Cover: Inside Kylie Jenner & Travis Scott's Whirlwind Romance,images\train\gossipcop-8536539547_0_75fcf3b814.jpg,d41d1f9efb49332679396ac8b7cfa0f51cf505041056790074e6d729c0a917b2
23,5,5,5,train,gossipcop-955008,gossipcop,real,Jennifer Lopez looks back at her memorable birthday party with Alex Rodriguez,images\train\gossipcop-955008_0_fdaefb8ec4.jpg,2a890006076c9e125d76e4f86b48410512a0d8233d294a62161f7d9b6ebdbbbd
18,6,6,6,train,gossipcop-1919418708,gossipcop,fake,Gwen Stefani Is Still Smitten With Blake Shelton and 'Has Never Once' Tried to Change Him (Exclusive),images\train\gossipcop-1919418708_0_5188f6bfd7.jpg,144f24a855ac78d963787859ca29e3960490e514e809206b009faae2b25b53ff
20,6,6,6,train,gossipcop-935570,gossipcop,real,"Cardi B Has Been with 'A Lot' of Women, Apologizes for Rita Ora ""Girls"" Lyrics",images\train\gossipcop-935570_0_0c3365f52b.jpg,831c332826c2850fc6ec4f7ceead1a2c7432e2d43dbccdd97a21a920177f3378
6,14,14,14,train,gossipcop-983270375,gossipcop,fake,Brad Pitt's 'near breakdown',images\train\gossipcop-983270375_0_22757645c6.jpg,143e32ffe52abe2f55d9038e1214a42eb7a6e10881ec609a18be9500ed7f5865
4,18,18,18,train,gossipcop-857342,gossipcop,real,Andy Cohen Spills All on The Real Housewives: Craziest Moment Most Demanding Star and More,images\train\gossipcop-857342_2_04de84df93.jpg,b0c13b3bae5301b6795a26a23861e11e08b7347aa93a520ff3f377955ddc4f19
9,12,12,12,train,gossipcop-3965602543,gossipcop,fake,Tinashe Slammed For Saying Black Community Won't 'Fully Accept' Her Over Light Skin,images\train\gossipcop-3965602543_0_3f08c41997.jpg,7fef15cce525c90be82e7b2c146bdc87813de6b751b08470026e7e92e028e987
5,15,15,15,train,gossipcop-910190,gossipcop,real,"Kelly Clarkson Fangirls Over Khalid, Lorde Flashes Her Flask & More OMG Moments From the 2018 Grammys",images\train\gossipcop-910190_0_1b2781c9c4.jpg,733bcb9966523c9373051c4a0a944151c63feedc07e93564750a26281b7c5573
11,10,10,10,train,gossipcop-905567,gossipcop,real,YouTuber Shane Dawson Apologizes After ‘Really S***ty F**king’ Pedophilia Jokes Emerge,images\train\gossipcop-905567_0_1ae196844c.jpg,6e4f3eafbd3fb4f53cec09c19a6bcc8f9786cc01c8f63de67b99c388b6b7b6d2
17,7,7,7,train,gossipcop-893647,gossipcop,real,Jimmy Fallon Makes Emotional Return to Late Night After Mother's Death,images\train\gossipcop-893647_0_9f08517f68.jpg,99ad091260bef031fdaddb630f7aeb70911b466bcfe7e5061aa71ab1a64b4117
12,9,9,9,train,gossipcop-2024808843,gossipcop,fake,Paris Jackson Lesbian Bombshell!,images\train\gossipcop-2024808843_0_c589845af4.jpg,ddd8f6eb1317991fb306851232426ad2a3311824a194f8c7bc9ebda1cd9025b1
2,25,25,25,train,gossipcop-846092,gossipcop,real,Serena Williams Says She Accidentally Announced Her Pregnancy: 'You Press the Wrong Button And...',images\train\gossipcop-846092_0_75fcf3b814.jpg,d41d1f9efb49332679396ac8b7cfa0f51cf505041056790074e6d729c0a917b2
16,7,7,7,train,gossipcop-6449992903,gossipcop,fake,"Jessica Simpson: ""I'm Not Pregnant""",images\train\gossipcop-6449992903_0_69e01bbfbb.jpg,3da54976f2cadfc600daf0eda68efb5f13c95da0cf926f7bcae226529457af73
7,14,14,14,train,gossipcop-514547189,gossipcop,fake,Angelina Jolie accuses Brad Pitt of not paying 'meaningful' child support in court docs,images\train\gossipcop-514547189_0_79bba41ed4.jpg,45d13637de0155e764246b9953b417376f6f80163d0242e846b6bbcd8d7ef544
2,25,25,25,train,gossipcop-915365,gossipcop,real,David Cross Supports Arrested Development Costar Jeffrey Tambor Amid Sexual Harassment Claims,images\train\gossipcop-915365_0_75fcf3b814.jpg,d41d1f9efb49332679396ac8b7cfa0f51cf505041056790074e6d729c0a917b2
1,33,33,33,train,gossipcop-4093077772,gossipcop,fake,"Robert Pattinson on Ex Kristen Stewart Cheating: ""S--- Happens""",images\train\gossipcop-4093077772_2_8316ad7c7a.jpg,6d92ed2a1f0519bb5cfbcb70425b856dd1aaf8790b749c73e1bd46d4d20391a7
12,9,9,9,train,gossipcop-2895484840,gossipcop,fake,Taylor's Lonely Life,images\train\gossipcop-2895484840_0_c589845af4.jpg,ddd8f6eb1317991fb306851232426ad2a3311824a194f8c7bc9ebda1cd9025b1
23,5,5,5,train,gossipcop-954164,gossipcop,real,Mark Hamill Nails Comic-Con 2018 with epic Star Wars disguises,images\train\gossipcop-954164_0_fdaefb8ec4.jpg,2a890006076c9e125d76e4f86b48410512a0d8233d294a62161f7d9b6ebdbbbd
14,7,7,7,train,gossipcop-900223,gossipcop,real,WAGS Atlanta's Kaylin Jurrjens Breaks Down At Kierra Douglas' Party After Receiving Devastating News About Her Husband's Career,images\train\gossipcop-900223_0_e82bd69dcc.jpg,1ea6c1e53f1a42bf9ec83d8741b49ca9f2b4af6908431e6847f6c97cdc19f0e8
22,5,5,5,train,politifact14126,politifact,fake,Breaking News: FBI Uncovers Evidence That 62 Million Trump Voters are All Russian Agents,images\train\politifact14126_0_d6ab0a9a22.jpg,220548327d54cd27e2d9d62c310c778b554258b237ee1b489b15158eec3cec18
4,18,18,18,train,gossipcop-859921,gossipcop,real,The Abbey’s Marissa Declares She’s the &quot;F — kboy Whisperer&quot; After Kyle Takes Her on a…,images\train\gossipcop-859921_2_04de84df93.jpg,b0c13b3bae5301b6795a26a23861e11e08b7347aa93a520ff3f377955ddc4f19
15,7,7,7,train,gossipcop-9216826007,gossipcop,fake,Ben Affleck Gifted A Pet Pooch On What A Source Tells Us Is His Final Day In Rehab,images\train\gossipcop-9216826007_1_8c1a093007.jpg,3d1120eb776c43c7263c293c32adbdeece9112eaf00ed922d1b24a3762dbfab8
8,13,13,13,train,gossipcop-7771950169,gossipcop,fake,Jennifer Lopez And Alex Rodriguez Headed For A Split? Inside Her Demands For A Ring,images\train\gossipcop-7771950169_0_7011549a48.jpg,24a381d1b38177a5d3b7d10fd3cc4fbd2110b51973f600548f55b8d1ee30280e
21,6,6,6,train,gossipcop-1960381072,gossipcop,fake,Debbie Reynolds Net Worth,images\train\gossipcop-1960381072_1_0297d15de6.jpg,fc389a9b25bb547e5ee027e242c37ef3f860af8a75afdbc432c825c19bbf43cc
2,25,25,25,train,gossipcop-901875,gossipcop,real,Lady Antebellum's Dave Haywood Welcomes Daughter,images\train\gossipcop-901875_0_75fcf3b814.jpg,d41d1f9efb49332679396ac8b7cfa0f51cf505041056790074e6d729c0a917b2
1,33,33,33,train,gossipcop-352631943,gossipcop,fake,Betty White Turns 95: Celebs and Fans Wish Her Happy Birthday,images\train\gossipcop-352631943_2_8316ad7c7a.jpg,6d92ed2a1f0519bb5cfbcb70425b856dd1aaf8790b749c73e1bd46d4d20391a7
3,23,23,23,train,gossipcop-927391,gossipcop,real,ACM Awards 2018: Miranda Lambert Fans Cry as Blake Shelton Serenades Gwen Stefani,images\train\gossipcop-927391_0_cd3a877011.jpg,b0f6ffed41b438fca077245d32fdb00883cdf6919793118a92d0b1a92b7eb434
1,33,33,33,train,gossipcop-864853,gossipcop,real,"Christina Aguilera, Miley Cyrus, More Stars Celebrate 4th of July",images\train\gossipcop-864853_2_8316ad7c7a.jpg,6d92ed2a1f0519bb5cfbcb70425b856dd1aaf8790b749c73e1bd46d4d20391a7
2,25,25,25,train,gossipcop-883571,gossipcop,real,Macklemore Reveals His Second Daughter's Birth Date — and Her Animal-Inspired Name,images\train\gossipcop-883571_0_75fcf3b814.jpg,d41d1f9efb49332679396ac8b7cfa0f51cf505041056790074e6d729c0a917b2
1,33,33,33,train,gossipcop-8697896182,gossipcop,fake,Katie Holmes and Jamie Foxx: Why They Went Public Now,images\train\gossipcop-8697896182_2_8316ad7c7a.jpg,6d92ed2a1f0519bb5cfbcb70425b856dd1aaf8790b749c73e1bd46d4d20391a7
11,10,10,10,train,gossipcop-6429927553,gossipcop,fake,Entertainment Tonight,images\train\gossipcop-6429927553_0_1ae196844c.jpg,6e4f3eafbd3fb4f53cec09c19a6bcc8f9786cc01c8f63de67b99c388b6b7b6d2
8,13,13,13,train,gossipcop-4847768997,gossipcop,fake,Gwen Stefani And Blake Shelton On The Verge Of A Split? She Reportedly Called Off Their Wedding Plans,images\train\gossipcop-4847768997_0_7011549a48.jpg,24a381d1b38177a5d3b7d10fd3cc4fbd2110b51973f600548f55b8d1ee30280e
25,5,5,5,train,gossipcop-944427,gossipcop,real,Ariana Grande’s Ring Takes Center Stage for Her First Public Appearance Since Getting Engaged.,images\train\gossipcop-944427_1_02dd4906e5.jpg,b381e492131996e2b2cb05959377793c20d0aa815af2f7bc857046983d85eb96
19,6,6,6,train,gossipcop-942557,gossipcop,real,Anthony Bourdain's Most Outrageous and Candid Quotes,images\train\gossipcop-942557_1_2febc2406e.jpg,43b9f92209e0d573fdc9f9d37d96184695bdd1e7519226f9f62fede6db1b1d91
14,7,7,7,train,gossipcop-891530,gossipcop,real,"Whitney Port Talks ""Crazy"" Hills Baby Boom: ""I Would Love to Meet All the Babies""",images\train\gossipcop-891530_0_e82bd69dcc.jpg,1ea6c1e53f1a42bf9ec83d8741b49ca9f2b4af6908431e6847f6c97cdc19f0e8
1,33,33,33,train,gossipcop-846714,gossipcop,real,'Vanderpump Rules': Stassi Schroeder Cries About Her Ex,images\train\gossipcop-846714_2_8316ad7c7a.jpg,6d92ed2a1f0519bb5cfbcb70425b856dd1aaf8790b749c73e1bd46d4d20391a7
7,14,14,14,train,gossipcop-919870,gossipcop,real,Scott Baio's wife reveals microvascular brain disease diagnosis,images\train\gossipcop-919870_0_79bba41ed4.jpg,45d13637de0155e764246b9953b417376f6f80163d0242e846b6bbcd8d7ef544
7,14,14,14,train,gossipcop-890048,gossipcop,real,Cardi B is engaged! Watch her adorable reaction to rapper Offset's onstage proposal,images\train\gossipcop-890048_0_79bba41ed4.jpg,45d13637de0155e764246b9953b417376f6f80163d0242e846b6bbcd8d7ef544
11,10,10,10,train,gossipcop-917924,gossipcop,real,Elton John Explains Why He Stormed Off Stage During Las Vegas Concert,images\train\gossipcop-917924_0_1ae196844c.jpg,6e4f3eafbd3fb4f53cec09c19a6bcc8f9786cc01c8f63de67b99c388b6b7b6d2
1,33,33,33,train,gossipcop-851450,gossipcop,real,Thomas Rhett and Wife Lauren Adopt Baby Girl Willa Gray Akins,images\train\gossipcop-851450_1_8316ad7c7a.jpg,6d92ed2a1f0519bb5cfbcb70425b856dd1aaf8790b749c73e1bd46d4d20391a7
